Dataset,Mixture 1,Mixture 2,Experimental Values,Category,Idx_DREAM,Difference,mixture_1_num_of_mol,mixture_2_num_of_mol,cumulative_num_of_mol
Snitz 1,1.0,2.0,0.39583333333299997,train,0.0,3.33299998711567e-09,10,10,10.0
Snitz 1,1.0,3.0,0.3489583333330001,train,1.0,3.3330000981379726e-09,10,1,3.16228
Snitz 1,1.0,5.0,0.49479166666700003,train,2.0,3.33299998711567e-09,10,30,17.32051
Snitz 1,1.0,6.0,0.588541666667,train,3.0,3.33299998711567e-09,10,40,20.0
Snitz 1,1.0,7.0,0.4375,train,4.0,0.0,10,4,6.32456
Snitz 1,3.0,38.0,0.221590909091,train,5.0,9.089999863931552e-10,1,15,3.87298
Snitz 1,3.0,39.0,0.22727272727300007,train,6.0,2.7269999591794662e-09,1,20,4.47214
Snitz 1,3.0,40.0,0.2727272727269999,train,7.0,2.7269999591794662e-09,1,30,5.47723
Snitz 1,3.0,41.0,0.306818181818,train,8.0,1.8179999727863103e-09,1,43,6.55744
Snitz 1,8.0,2.0,0.24479166666699992,train,9.0,3.3330000981379726e-09,1,10,3.16228
Snitz 1,8.0,3.0,0.3151041666669999,train,10.0,3.3330000981379726e-09,1,1,1.0
Snitz 1,8.0,4.0,0.15104166666699992,train,11.0,3.3330000981379726e-09,1,20,4.47214
Snitz 1,8.0,5.0,0.234375,train,12.0,0.0,1,30,5.47723
Snitz 1,8.0,6.0,0.19270833333300008,train,13.0,3.3330000981379726e-09,1,40,6.32456
Snitz 1,8.0,7.0,0.09895833333299997,train,14.0,3.3330000981379726e-09,1,4,2.0
Snitz 1,9.0,2.0,0.43229166666700003,train,15.0,3.33299998711567e-09,20,10,14.14214
Snitz 1,9.0,3.0,0.328125,train,16.0,0.0,20,1,4.47214
Snitz 1,9.0,4.0,0.575520833333,train,17.0,3.33299998711567e-09,20,20,20.0
Snitz 1,9.0,5.0,0.609375,train,18.0,0.0,20,30,24.4949
Snitz 1,9.0,6.0,0.552083333333,train,19.0,3.33299998711567e-09,20,40,28.28427
Snitz 1,9.0,7.0,0.38020833333299997,train,20.0,3.33299998711567e-09,20,4,8.94427
Snitz 1,10.0,2.0,0.43229166666700003,train,21.0,3.33299998711567e-09,30,10,17.32051
Snitz 1,10.0,4.0,0.45833333333299997,train,22.0,3.33299998711567e-09,30,20,24.4949
Snitz 1,10.0,5.0,0.630208333333,train,23.0,3.33299998711567e-09,30,30,30.0
Snitz 1,10.0,6.0,0.588541666667,train,24.0,3.33299998711567e-09,30,40,34.64102
Snitz 1,10.0,7.0,0.541666666667,train,25.0,3.33299998711567e-09,30,4,10.95445
