Dataset,Mixture Label,length,Duplicate,Duplicate Of,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29,smi_30,smi_31,smi_32,smi_33,smi_34,smi_35,smi_36,smi_37,smi_38,smi_39,smi_40,smi_41,smi_42,length
Snitz 1,1,10,False,,CCOC(=O)C1OC1(C)c1ccccc1,CCCC(=O)O,Cc1ccc(O)cc1,Cc1ccc(OC(=O)C(C)C)cc1,COc1ccc(C)cc1,CC(C)c1ccc(C=O)cc1,CC(CC=O)CCCC(C)(C)O,C=CCCC(=O)O,c1ccsc1,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,2,10,False,,O=Cc1ccccc1,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,O=c1ccc2ccccc2o1,CCCCNCCCC,CCCC(=O)OCC,C=CCc1ccc(O)c(OC)c1,COc1ccccc1O,CCCCCC=O,c1ccc2[nH]ccc2c1,OCCc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,3,1,False,,CCCCCC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Snitz 1,4,20,False,,CC(=O)OCCC(C)C,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCCSCCCC,O=c1ccc2ccccc2o1,OC1CCCCC1,CCCCNCCCC,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,CSSSC,CCCC(=O)OCC,CC12CCC(CC1)C(C)(C)O2,C=CCc1ccc(O)c(OC)c1,COc1ccccc1O,C=C[C@](C)(O)CCC=C(C)C,CCC(OC)OC,Cc1ccc2ncccc2c1,O=C(O)Cc1ccccc1,CC1=CC(=O)CC(C)(C)C1,CCCOC(=O)CCC,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,20
Snitz 1,5,30,False,,CCCCCOC(=O)CCC,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCCSCCCC,Cc1cc(O)c(C(C)C)cc1Cl,O=c1ccc2ccccc2o1,CC(=O)Oc1ccc(C)cc1,OC1CCCCC1,CCCCNCCCC,CC(C)(O)CCc1ccccc1,Cc1cnc(C)cn1,CSSSC,CCCC(=O)OCC,C=CCc1ccc(O)c(OC)c1,COc1ccccc1O,CCCCCC=O,CCCCCC(=O)O,CCCCCCO,CCCC(O)CC,CCC/C=C/C=O,c1ccc2[nH]ccc2c1,C=C[C@](C)(O)CCC=C(C)C,CCC(OC)OC,Cc1ccc2ncccc2c1,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,O=C(O)Cc1ccccc1,C#Cc1ccccc1,CC1=CC(=O)CC(C)(C)C1,CCCOC(=O)CCC,CCCCCCCC1CCC(=O)O1,CC(C)CC(=O)O,,,,,,,,,,,,,,30
Snitz 1,6,40,False,,CCCCCC1CCC(=O)O1,CC(=O)OCCC(C)C,CCCCCOC(=O)CCC,O=Cc1ccccc1,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CCCCSCCCC,Cc1cc(O)c(C(C)C)cc1Cl,O=c1ccc2ccccc2o1,CC(=O)Oc1ccc(C)cc1,OC1CCCCC1,CCCCNCCCC,CCCC(=O)OC(C)(C)Cc1ccccc1,CC(C)(O)CCc1ccccc1,Cc1nccnc1C,Cc1cnc(C)cn1,CSSSC,CCCC(=O)OCC,CCc1cnccn1,CC12CCC(CC1)C(C)(C)O2,C=CCc1ccc(O)c(OC)c1,COc1ccccc1O,CCCCCCC=O,CCCCCC=O,CCCCCC(=O)O,CCCCCCO,CCCC(O)CC,CCC/C=C/C=O,c1ccc2[nH]ccc2c1,C=C[C@](C)(O)CCC=C(C)C,CCC(OC)OC,Cc1ccc2ncccc2c1,CCCC(=O)SC,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,O=C(O)Cc1ccccc1,C#Cc1ccccc1,OCCc1ccccc1,CC1=CC(=O)CC(C)(C)C1,CCCOC(=O)CCC,CCCCCCCC1CCC(=O)O1,CC(C)CC(=O)O,,,,40
Snitz 1,7,4,False,,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,COc1ccccc1O,C=C[C@](C)(O)CCC=C(C)C,CC1=CC(=O)CC(C)(C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Snitz 1,8,1,False,,CCCCC/C=C/C=C/C=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Snitz 1,9,20,False,,CC(=O)c1ccccc1,CCOC(=O)C1OC1(C)c1ccccc1,CCCC(=O)O,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,CC/C=C1/OC(=O)c2ccccc21,O=CC=Cc1ccccc1,Cc1ccc(OC(=O)C(C)C)cc1,CC(C)c1ccc(C=O)cc1,CCCCC/C=C/C=C/C=O,CCOC(=O)CC,SCc1ccco1,CC(CC=O)CCCC(C)(C)O,COc1ccc2ccccc2c1,COC(=O)c1ccccc1N,CCCCCCCCCOC(C)=O,Cc1c[nH]c2ccccc12,c1ccsc1,C=CCCCCCCCCC(=O)O,CC1CCC(=O)O1,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,20
Snitz 1,10,30,False,,CC(=O)c1ccccc1,CCOC(=O)C1OC1(C)c1ccccc1,CC(C)CCOC(=O)Cc1ccccc1,COc1ccccc1,CCCC(=O)O,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,CC/C=C1/OC(=O)c2ccccc21,O=CC=Cc1ccccc1,Cc1ccc(O)cc1,Cc1ccc(OC(=O)C(C)C)cc1,COc1ccc(C)cc1,CC(C)c1ccc(C=O)cc1,CCCCC/C=C/C=C/C=O,c1ccc(Oc2ccccc2)cc1,CCOC(=O)CC,SCc1ccco1,CCCCCCCO,CC(CC=O)CCCC(C)(C)O,CC(C)=CCCC(C)C=O,COC(=O)c1ccccc1N,CCCCCCCCCOC(C)=O,CCCCCCCCO,CCCCC(=O)O,C=CCCC(=O)O,CC1=CCC2CC1C2(C)C,CCCSCCC,Cc1c[nH]c2ccccc12,Cc1ccccc1C=O,Cc1ccccc1,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,30
Snitz 1,11,12,False,,CCCCC(=O)O,C=CCCC(=O)O,CC1=CCC2CC1C2(C)C,CCCSCCC,Cc1c[nH]c2ccccc12,c1ccsc1,Cc1ccc(C(C)C)c(O)c1,Cc1ccccc1C=O,Cc1ccccc1,C=CCCCCCCCCC(=O)O,CC1CCC(=O)O1,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Snitz 1,12,4,False,,COc1ccc(C)cc1,CCOC(=O)CC,CC(CC=O)CCCC(C)(C)O,COc1cc(C=O)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Snitz 1,13,10,False,,Cc1nccnc1C,CCOC(=O)CC,COc1ccccc1O,CC(C)=CCCC(C)C=O,COc1ccc2ccccc2c1,C=CCCC(=O)O,O=C(O)Cc1ccccc1,C#Cc1ccccc1,OCCc1ccccc1,CC1=CC(=O)CC(C)(C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,14,10,False,,O=c1ccc2ccccc2o1,CCCC(=O)OCC,SCc1ccco1,CC(CC=O)CCCC(C)(C)O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,COC(=O)c1ccccc1N,Cc1ccc2ncccc2c1,CCCCC(=O)O,Cc1c[nH]c2ccccc12,c1ccsc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Snitz 1,15,1,False,,Cc1ccc2ncccc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Snitz 1,16,20,False,,CCCCCOC(=O)CCC,COc1ccccc1,O=c1ccc2ccccc2o1,c1ccc(Oc2ccccc2)cc1,CCCC(=O)OCC,CCc1cnccn1,CCCCCC(=O)O,CC(CC=O)CCCC(C)(C)O,C=C[C@](C)(O)CCC=C(C)C,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,COC(=O)c1ccccc1N,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CCCCCCCCCOC(C)=O,CCCCCCCCO,C=CC(O)CCCCC,CCCSCCC,c1ccsc1,Cc1ccc(C(C)C)c(O)c1,C=CCCCCCCCCC(=O)O,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,20
