Dataset,Mixture 1,Mixture 2,Experimental Values,Mixture 1 ID,Mixture 2 ID
Snitz 3,CC(=O)C1=CC=CC=C1,CSSSC,0.853163157895,1,45
Snitz 3,CCCCCC1CCC(=O)O1,CCC(=O)OCC,0.6950149999999999,2,17
Snitz 3,CC(C)CCOC(=O)C,COC1=C(C=CC(=C1)CC=C)O,0.579065,3,19
Snitz 3,COC1=CC=CC=C1,CCCCCCCO,0.517855,4,24
Snitz 3,C1=CC=C(C=C1)C=O,CCCCCCO,0.403795,5,30
Snitz 3,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CCCC(CC)O,0.5191250000000001,6,31
Snitz 3,CCCCSCCCC,CC(C1=CC=CC=C1)C(OC)OC,0.65864,7,20
Snitz 3,CC1=CC=C(C=C1)OC(=O)C(C)C,COC(=O)C1=CC=CC=C1N,0.48786999999999997,8,46
Snitz 3,CC1=CC=C(C=C1)OC,CCCC(=O)SC,0.881245,9,33
Snitz 3,CC(C)C1=CC=C(C=C1)C=O,CCCCCCCCCOC(=O)C,0.46850499999999995,10,44
Snitz 3,CCCCNCCCC,CCCCC(=O)O,0.5070049999999999,11,36
Snitz 3,CCSCC,C=CCCC(=O)O,0.479247368421,12,26
Snitz 3,CC1=NC=CN=C1C,CC1=CC=CC=C1,0.846735,13,41
Snitz 3,CC1=CN=C(C=N1)C,CC(C)CC(=O)O,0.7293299999999999,14,47
Snitz 3,CC(C)CCOC(=O)C,CCC1=NC=CN=C1,0.785838818225,3,18
Snitz 3,C1=CC=C(C=C1)CCO,CC(C)CCOC(=O)C,0.527871707992,15,3
Snitz 3,C1=CC=C(C=C1)C=O,CC(C)C1=CC=C(C=C1)C=O,0.59725260641,5,10
Snitz 3,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,C1=CC=C(C=C1)C=O,0.470660465177,6,5
Snitz 3,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCC(=O)OCC,0.663154488376,8,16
Snitz 3,CCCCNCCCC,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,0.860014840223,11,6
Snitz 3,CCCC(=O)OCC,CCCCCCCO,0.601831365017,16,24
Snitz 3,CCC(=O)OCC,COC1=CC=CC=C1,0.36633577097299996,17,4
Snitz 3,CCC1=NC=CN=C1,CCCCNCCCC,0.5858038708609999,18,11
Snitz 3,COC1=C(C=CC(=C1)CC=C)O,CCCCSCCCC,0.792485264611,19,7
Snitz 3,CC(C1=CC=CC=C1)C(OC)OC,CC1=NC=CN=C1C,0.8400921739839999,20,13
Snitz 3,CC1=CC2=C(C=C1)N=CC=C2,CC1=CC=C(C=C1)OC(=O)C(C)C,0.40712628733499995,21,8
Snitz 3,COC(=O)C1=CC=CC=C1O,CC1=CN=C(C=N1)C,0.677653398991,22,14
Snitz 3,C1=CSC=C1,CC(C1=CC=CC=C1)C(OC)OC,0.698126165117,23,20
Snitz 3,COC1=CC=CC=C1,C1=CSC=C1,0.650326160196,4,23
Snitz 3,CC(C)C1=CC=C(C=C1)C=O,CC1=CC2=C(C=C1)N=CC=C2,0.495928801731,10,21
Snitz 3,CC1=NC=CN=C1C,CCCCCCCC1CCC(=O)O1,0.843367254187,13,48
Snitz 3,CC1=CN=C(C=N1)C,C1=CC=C(C=C1)CCO,0.6240499427289999,14,15
Snitz 3,CCCCCCCO,COC(=O)C1=CC=CC=C1O,0.516052504672,24,22
Snitz 3,CC1=CCC2CC1C2(C)C,CCCCCCCC1CCC(=O)O1,0.6885100011360001,25,48
Snitz 3,CC(=O)C1=CC=CC=C1,COC1=C(C=CC(=C1)CC=C)O,0.59781364245,1,19
Snitz 3,CC(=O)C1=CC=CC=C1,CCCC(CC)O,0.46209636119400005,1,31
Snitz 3,CCCCCC1CCC(=O)O1,C1=CC=C(C=C1)C=CC=O,0.509307079325,2,42
Snitz 3,CCCCCC1CCC(=O)O1,CCCCCCC=O,0.6816509897590001,2,49
Snitz 3,C=CCCC(=O)O,CC(=O)C1=CC=CC=C1,0.8168867977159999,26,1
Snitz 3,C#CC1=CC=CC=C1,CCCCCC1CCC(=O)O1,0.5847002515509999,27,2
Snitz 3,CC1=CC(=O)CC(C1)(C)C,CC(C)CCOC(=O)C,0.628586888117,28,3
Snitz 3,CC1=CC=C(C=C1)OC(=O)C,CCCCCCC=O,0.500771627919,29,49
Snitz 3,CC1=CC=C(C=C1)OC,CC1=CC=C(C=C1)OC(=O)C,0.48467770114700004,9,29
Snitz 3,CCCCCCO,CCCCNCCCC,0.773829970196,30,11
Snitz 3,CCCC(CC)O,CCCCCOC(=O)CCCC,0.568988785362,31,39
Snitz 3,CCC/C=C/C=O,CC1(C2CCC(O1)(CC2)C)C,0.6313274748309999,32,43
Snitz 3,CCC/C=C/C=O,CCCCCCO,0.430612623805,32,30
Snitz 3,CCCC(=O)SC,C1=CC=C(C=C1)C=O,0.901504299718,33,5
Snitz 3,CCCCCCCCO,CCCCNCCCC,0.7739573308350001,34,11
Snitz 3,CCCCCCCCO,CCCCCCCO,0.133988273927,34,24
Snitz 3,CCCCCC(C=C)O,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,0.698383313414,35,6
Snitz 3,CCCCC(=O)O,CC1(C2CCC(O1)(CC2)C)C,0.833045201691,36,43
Snitz 3,C#CC1=CC=CC=C1,CC1=CC=C(C=C1)OC,0.48658413801499995,27,9
Snitz 3,CC1=CC(=O)CC(C1)(C)C,CCC/C=C/C=O,0.463625199751,28,32
Snitz 3,CCCC(=O)OCCC,C1=CC=C(C=C1)C=CC=O,0.571803145802,37,42
Snitz 3,CCCSCCC,C1=CC=C(C=C1)C=O,0.708866262158,38,5
Snitz 3,CCCSCCC,CCCCSCCCC,0.25269359046800005,38,7
Snitz 3,CCCCCOC(=O)CCCC,CCCCCCCCO,0.42361693827499997,39,34
Snitz 3,CCCCCOC(=O)CCCC,C1=CSC=C1,0.7826917973480001,39,23
Snitz 3,CC1=CC=CC=C1C=O,CC1=CC=C(C=C1)OC,0.440268133278,40,9
Snitz 3,CC1=CC=CC=C1,CCC1=NC=CN=C1,0.708733418689,41,18
Snitz 3,C1=CC=C(C=C1)C=CC=O,CCCCC(=O)O,0.9065038499729999,42,36
Snitz 3,CC1=CC=C(C=C1)OC(=O)C,C#CC1=CC=CC=C1,0.511120140257,29,27
Snitz 3,CC1(C2CCC(O1)(CC2)C)C,CC1=CC=CC=C1C=O,0.421804161802,43,40
Snitz 3,CCCCCCCO,C1=CC=C(C=C1)CCO,0.536919572194,24,15
Snitz 3,CCCCCCCO,CCCC(=O)OCCC,0.5964995409,24,37
Snitz 3,CCCCCCO,CCCCCCCCCOC(=O)C,0.50361420856,30,44
Snitz 3,CCCC(CC)O,CCCCCCCC1CCC(=O)O1,0.636903805545,31,48
Snitz 3,CCCC(=O)SC,CC1=CC=CC=C1,0.8516767060089999,33,41
Snitz 3,CCCCCCCCCOC(=O)C,CC1=CC2=C(C=C1)N=CC=C2,0.49648598196000004,44,21
Snitz 3,CCCCCCCCCOC(=O)C,C=CCCC(=O)O,0.723162295252,44,26
Snitz 3,CCCCC(=O)O,CC1=CC=CC=C1C=O,0.8080749460810001,36,40
Snitz 3,C=CCCC(=O)O,C1=CC=C(C=C1)CCO,0.7396641883539999,26,15
Snitz 3,CCCC(=O)OCCC,CC1=CC(=O)CC(C1)(C)C,0.555520117156,37,28
