metric,low_ci,upper_ci,mean,std,fname
pearson,0.3479891975680843,0.44958502451977583,0.39878711104393005,0.05079791347584578,"Snitz
baseline"
rmse,0.3244728722832806,0.34423648926991157,0.3343546807765961,0.009881808493315472,"Snitz
baseline"
kendall,0.2501123932083107,0.3344377550403618,0.29227507412433623,0.042162680916025534,"Snitz
baseline"
pearson,0.4366344480542836,0.5327202172251048,0.4846773326396942,0.048042884585410596,"XGBoost
rdkit"
rmse,0.15416278208158238,0.1773015085373141,0.16573214530944824,0.011569363227865864,"XGBoost
rdkit"
kendall,0.3331893088334588,0.41265317182602607,0.37292124032974244,0.039731931496283644,"XGBoost
rdkit"
pearson,0.45607296234835804,0.5378518342329103,0.49696239829063416,0.04088943594227612,"XGBoost
POM embed"
rmse,0.1528661230571581,0.17613769974633922,0.16450191140174866,0.011635788344590565,"XGBoost
POM embed"
kendall,0.3549372338934944,0.4216019964531853,0.38826961517333985,0.03333238127984546,"XGBoost
POM embed"
pearson,0.7160722578495776,0.7768560086756909,0.7464641332626343,0.030391875413056605,"CheMix
POM embed"
rmse,0.12284070682380173,0.1362888323083165,0.1295647695660591,0.006724062742257385,"CheMix
POM embed"
kendall,0.5127838358262101,0.5772234335562666,0.5450036346912384,0.032219798865028286,"CheMix
POM embed"
pearson,0.7508846519921647,0.8071281196142807,0.7790063858032227,0.02812173381105795,POMMix
rmse,0.11444092404162247,0.12238319504941146,0.11841205954551696,0.003971135503894499,POMMix
kendall,0.5738763824201583,0.6186800226472855,0.5962782025337219,0.02240182011356361,POMMix
